,für,über,können,jahr,zwei,zeit,jahre,gibt,ersten,jahren,menschen,während,heute,später,chr,erste,z.,hitler,alexander,drei,v.,jahrhundert,form,ohne,b.,deutschen,teil,beispiel,stadt,deutschland,bezeichnet,sei,ende,de,aristoteles,//de.wikipedia.org/wiki,meist,bekannt,konnte,verwendet,insbesondere,worden,aufgrund,zunächst,’,gilt,beispielsweise,große,wegen,of,hitchcock,großen,neuen,liegt,stark,welt,siehe,film,neue,arbeit,zurück,ließ,rolle,the,aldi,staaten,jahrhunderts,besteht,wobei,deutsche,aluminium,meisten,merkel,prozent,bedeutung,sprache,tod,a,crowley,genannt,september,gegenüber,oktober,sprachen,art,leben,steht,namen,millionen,bevölkerung,vier,häufig,april,lassen,märz,rund,august,1,verschiedenen,januar
für,2505.0,12.0,6.0,14.0,17.0,25.0,15.0,9.0,8.0,3.0,28.0,8.0,5.0,4.0,,4.0,6.0,9.0,11.0,9.0,,,4.0,6.0,5.0,10.0,2.0,15.0,4.0,9.0,2.0,8.0,6.0,2.0,18.0,,1.0,2.0,4.0,15.0,9.0,3.0,3.0,4.0,4.0,21.0,8.0,14.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
über,12.0,894.0,7.0,5.0,10.0,4.0,12.0,4.0,,6.0,8.0,,1.0,3.0,,3.0,1.0,4.0,6.0,5.0,1.0,,2.0,2.0,1.0,4.0,4.0,2.0,6.0,2.0,1.0,,,2.0,5.0,,3.0,,,,1.0,,,3.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
können,6.0,7.0,371.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,2.0,,1.0,,1.0,,,1.0,3.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,3.0,3.0,,2.0,,2.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jahr,14.0,5.0,,409.0,,,2.0,2.0,2.0,2.0,,2.0,,8.0,,1.0,,1.0,,1.0,31.0,1.0,,,,,,,,3.0,,,1.0,,,,,1.0,2.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zwei,17.0,10.0,1.0,,395.0,1.0,25.0,5.0,5.0,6.0,2.0,1.0,1.0,18.0,,1.0,,,2.0,7.0,,,1.0,,,2.0,,,5.0,1.0,,,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeit,25.0,4.0,1.0,,1.0,376.0,,1.0,,1.0,,8.0,1.0,4.0,,,,,,1.0,1.0,,,,,1.0,1.0,,5.0,,,,,,,,3.0,4.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jahre,15.0,12.0,1.0,2.0,25.0,,367.0,,8.0,,1.0,4.0,1.0,30.0,,2.0,,1.0,1.0,10.0,9.0,,,,,3.0,,1.0,,1.0,,,24.0,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gibt,9.0,4.0,,2.0,5.0,1.0,,295.0,1.0,,,,5.0,,,2.0,,,1.0,,,,,,,,,1.0,1.0,3.0,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ersten,8.0,,1.0,2.0,5.0,,8.0,1.0,331.0,3.0,1.0,5.0,,,,,,1.0,,8.0,3.0,4.0,,1.0,,3.0,3.0,,2.0,1.0,2.0,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jahren,3.0,6.0,,2.0,6.0,1.0,,,3.0,323.0,1.0,1.0,4.0,,,2.0,,,1.0,5.0,,,,,,,,,,1.0,,,,,,,,3.0,1.0,,2.0,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
menschen,28.0,8.0,,,2.0,,1.0,,1.0,1.0,260.0,,1.0,,,1.0,,,,,2.0,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
